topic,word_id,word,kana,romaji
japanese_jlpt_n1,to_grant_to_award_to_teach,授ける,さずける,sazukeru
japanese_jlpt_n1,to_rub_to_stroke,摩する,さする,sasuru
japanese_jlpt_n1,i_am_sure_certainly_no_doub,さぞ (さぞや。さぞかし),さぞ (さぞや。さぞかし),sazo
japanese_jlpt_n1,to_become_settled_to_be_fix,定まる,さだまる,sadama ru
japanese_jlpt_n1,to_decide_to_determine,定める,さだめる,sadameru
japanese_jlpt_n1,symposium_round_table_discu,座談会,ざだんかい,z humankind
japanese_jlpt_n1,rough_crude,雑,ざつ,zatsu
japanese_jlpt_n1,miscellaneous_goods_general,雑貨,ざっか,zakka
japanese_jlpt_n1,murder,殺人,さつじん,satsujin
japanese_jlpt_n1,to_guess_to_sense_to_judge,察する,さっする,sassuru
japanese_jlpt_n1,chatting_idle_talk,雑談,ざつだん,zatsudan
japanese_jlpt_n1,suddenly_smoothly,さっと,さっと,satto
japanese_jlpt_n1,to_refresh,さっぱりする,さっぱりする,sapparisuru
japanese_jlpt_n1,to_attain_enlightenment_to_,悟る,さとる,satoru
japanese_jlpt_n1,in_the_middle_of_midst,最中,さなか,manaka
japanese_jlpt_n1,coordinates,座標,ざひょう,zahyou
japanese_jlpt_n1,not_so_not_that_much,さほど,さほど,sahodo
japanese_jlpt_n1,to_cut_skip_classes_to_loaf,サボる,サボる,saboru
japanese_jlpt_n1,shout_scream_outcry,叫び,さけび,sakebi
japanese_jlpt_n1,state_way_a_person_does_som,様,さま,sama
japanese_jlpt_n1,chill_shiver_cold,寒気,さむけ,samuke
japanese_jlpt_n1,samurai,侍,さむらい,samurai
japanese_jlpt_n1,with_gusto_with_satisfactio,さも,さも,samo
japanese_jlpt_n1,operation_effect_function,作用,さよう,sayō
japanese_jlpt_n1,to_kidnap,さらう (こどもを～),さらう (こどもを～),sarau (kodomo o ~)
japanese_jlpt_n1,to_hinder_to_interfere_with,障る,さわる,sawaru
japanese_jlpt_n1,acid,酸,さん,san
japanese_jlpt_n1,mountains,山岳,さんがく,sangaku
japanese_jlpt_n1,house_of_councilors,参議院,さんぎいん,Sangiin
japanese_jlpt_n1,maternity_leave,産休,さんきゅう,Sankyuu
japanese_jlpt_n1,thank_you,サンキュー,サンキュー,Sankyuu
japanese_jlpt_n1,remaining_money,残金,ざんきん,Zankin
japanese_jlpt_n1,postpartum_after_childbirth,産後,さんご,Sango
japanese_jlpt_n1,cruelty_harshness,残酷,ざんこく,Zankoku
japanese_jlpt_n1,yield_produce,産出,さんしゅつ,Sanshutsu
japanese_jlpt_n1,reference_consultation_cons,参照,さんしょう,Sanshou
japanese_jlpt_n1,calling_on_visiting,参上,さんじょう,Sanjou
japanese_jlpt_n1,bank_balance_remainder,残高,ざんだか,Zandaka
japanese_jlpt_n1,santa_claus,サンタクロース,サンタクロース,santakurōsu
japanese_jlpt_n1,wharf_jetty_pier,桟橋,さんばし,sanbashi
japanese_jlpt_n1,praise_adoration_glorificat,賛美,さんび,sanbi
japanese_jlpt_n1,hillside_mountainside,山腹,さんぷく,sanpuku
japanese_jlpt_n1,maternity_and_gynecology_de,産婦人科,さんふじんか,sanfujinka
japanese_jlpt_n1,product_result_fruit,産物,さんぶつ,sanbutsu
japanese_jlpt_n1,mountain_range,山脈,さんみゃく,sanmyaku
japanese_jlpt_n1,finish_end_completion,仕上がり,しあがり,shiagari
japanese_jlpt_n1,end_finishing_touches,仕上,しあげ,shiage
japanese_jlpt_n1,to_finish_up_to_complete,仕上げる,しあげる,shiagēru
japanese_jlpt_n1,breeding_raising_rearing,飼育,しいく,shiiku
japanese_jlpt_n1,to_dare_to_insist,強いて,しいて,shiite
japanese_jlpt_n1,seat_sheet,シート,シート,shiito
japanese_jlpt_n1,jeans,ジーパン,ジーパン,jiipan
japanese_jlpt_n1,to_lay_in_stock_to_replenis,仕入れる,しいれる,shiireru
japanese_jlpt_n1,to_force_to_compel_to_coerc,強いる,しいる,shiiru
japanese_jlpt_n1,tide,潮,しお,shio
japanese_jlpt_n1,dentistry,歯科,しか,shika
japanese_jlpt_n1,self_ego,自我,じが,jiga
japanese_jlpt_n1,self_conscious,自覚,じかく,jikaku
japanese_jlpt_n1,device_trick_mechanism,仕掛,しかけ,shikake
japanese_jlpt_n1,to_lay_to_set_to_wage,仕掛ける,しかける,shikakeru
japanese_jlpt_n1,however_nevertheless,しかしながら,しかしながら,shikashi nagara
japanese_jlpt_n1,color,色彩,しきさい,shikisa
japanese_jlpt_n1,ceremonial_hall_place_of_ce,式場,しきじょう,shikijō
japanese_jlpt_n1,custom_conventional_practic,しきたり,しきたり,shikitari
japanese_jlpt_n1,project_enterprise_business,事業,じぎょう,jigyō
japanese_jlpt_n1,scorn_disdain,軽蔑,けいべつ,keibetsu
japanese_jlpt_n1,personal_history_career,経歴,けいれき,keireki
japanese_jlpt_n1,course_route_channel,経路,けいろ,keiro
japanese_jlpt_n1,filthy_unfair,けがらわしい,けがらわしい,kegarawashii
japanese_jlpt_n1,troupe_theatrical_company,劇団,げきだん,gekidan
japanese_jlpt_n1,encouragement,激励,げきれい,gekirei
japanese_jlpt_n1,guest,ゲスト,ゲスト,gesuto
japanese_jlpt_n1,beast_brute,獣,けだもの,kedamono
japanese_jlpt_n1,decision_vote,決,けつ,ketsu
japanese_jlpt_n1,decision_determination,決意,けつい,ketsui
japanese_jlpt_n1,tuberculosis,結核,けっかく,kekkaku
japanese_jlpt_n1,resolution_vote_decision,決議,けつぎ,ketsugi
japanese_jlpt_n1,combination_union,結合,けつごう,ketsugou
japanese_jlpt_n1,balance_sheet_settlement_of,決算,けっさん,kessan
japanese_jlpt_n1,monthly_tuition_fee,月謝,げっしゃ,gessha
japanese_jlpt_n1,finals_in_sports,決勝,けっしょう,kesshō
japanese_jlpt_n1,crystal_crystallization,結晶,けっしょう,kesshō
japanese_jlpt_n1,formation,結成,けっせい,kessei
japanese_jlpt_n1,union_unity,結束,けっそく,kessoku
japanese_jlpt_n1,being_disheartened_losing_w,げっそり,げっそり,gessori
japanese_jlpt_n1,decision_determination_2,決断,けつだん,ketsudan
japanese_jlpt_n1,monthly_installment,月賦,げっぷ,geppu
japanese_jlpt_n1,shortage,欠乏,けつぼう,ketsubō
japanese_jlpt_n1,to_kick_away_to_kick_someon,蹴飛ばす,けとばす,ketobasu
japanese_jlpt_n1,to_speak_ill_of,けなす,けなす,kenasu
japanese_jlpt_n1,smoky_feeling_awkward,煙たい,けむたい,kemutai
japanese_jlpt_n1,to_smoke_e_g_fire,煙る,けむる,kemuru
japanese_jlpt_n1,beast_brute_2,獣,けもの,kemono
japanese_jlpt_n1,retainer_retinue_servant,家来,けらい,kerai
japanese_jlpt_n1,diarrhea,下痢,げり,geri
japanese_jlpt_n1,authority_power_influence,権威,けんい,ken'i
japanese_jlpt_n1,holding_two_jobs_at_the_sam,兼業,けんぎょう,kengyō
japanese_jlpt_n1,original_form_base_form,原形,げんけい,genkei
japanese_jlpt_n1,prototype_model_archetypal,原型,げんけい,genkei
japanese_jlpt_n1,power_authority_jurisdictio,権限,けんげん,kengen
japanese_jlpt_n1,present_current_in_operatio,現行,げんこう,genkou
japanese_jlpt_n1,in_good_health_well,健在,けんざい,kenzai
japanese_jlpt_n1,original_work,原作,げんさく,gensaku
japanese_jlpt_n1,public_prosecutor,検事,けんじ,kenji
japanese_jlpt_n1,atom,原子,げんし,genshi
japanese_jlpt_n1,ruler_sovereign,元首,げんしゅ,genshu
japanese_jlpt_n1,original_document,原書,げんしょ,gensho
japanese_jlpt_n1,offering_prizes_winning_rew,懸賞,けんしょう,kenshou
japanese_jlpt_n1,health_soundness_wholesome,健全,けんぜん,kenzen
japanese_jlpt_n1,element,元素,げんそ,genso
japanese_jlpt_n1,sympathy_agree_with_alignme,同調,どうちょう,dōchō
japanese_jlpt_n1,cannot_possibly,到底,とうてい,tōtei
japanese_jlpt_n1,dynamic_kinetic,動的,どうてき,dōteki
japanese_jlpt_n1,precious_valuable_noble,尊い,とうとい,tōtoi
japanese_jlpt_n1,precious_valuable_noble_2,貴い,とうとい,tōtoi
japanese_jlpt_n1,equality_equal_same_rank,同等,どうとう,dōtō
japanese_jlpt_n1,magnificent_grand_impressiv,堂々,どうどう,dōdō
japanese_jlpt_n1,to_value_to_prize_to_esteem,尊ぶ,とうとぶ,tōtobu
japanese_jlpt_n1,in_some_way_or_other_one_wa,どうにか,どうにか,dōnika
japanese_jlpt_n1,throw_investment_making_an_,投入,とうにゅう,tōnyū
